Rating_Number,Votes_Number,Computer_Score,Group_Rank,Group_Rank_Size,Total_Rank,Total_Rank_Size,HDMI,Keyboard,Generation,GPU,Solid State Drive,Microphone In,Process Node,USB Ports,RAM,SSD Interface,Touch,Anti Glare Screen,Speed,Cores,Cache,Inbuilt Microphone,Utility,OS,Keyboard Backlit,Optical Drive,Resolution,RAM Bus Speed,Headphone Jack,Battery,Dimensions,Ethernet,Model,Size,Sales Package,PPI,Speakers,Camera,WiFi,Brand,Series,Battery Details,Type,Touchpad,Warranty,Features,Security Lock Port,Processor,Adapter Type,Bluetooth,Weight,Device Type,Price
4.35,115,2,2,481,278,2352,1 x HDMI 2.1 Port,"Full-Size, Mica Silver Keyboard with Numeric Keypad",11th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,No,"1 x USB Type-C, 3 x USB Type-A, 3 x USB 3.0",16GB DDR4,NVMe PCIe Gen4,No,Yes,6 x 2.2GHz (Turbo Speed upto 4.5GHz) Cores,"Hexa Core, 12 Threads",12MB,Dual Array Digital Microphones,Gaming,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,2933MHz,Yes,"70Wh, 4 Cell Battery",370x262x23.5mm,Integrated 10/100/1000 GbE LAN,16-d0333TX,16.1inches,No,~ 137PPI,Dual Speakers,HP Wide Vision 720p HD camera,Intel Wi-Fi 6 AX201 (2x2),Intel,Victus,"280 g Battery Weight, EPEAT Registered",IPS,HP Imagepad with multi-touch Gesture Support; Precision Touchpad Support,1year Warranty,"250nits Brightness, Micro-Edge, 45% NTSC",No,11th Gen Intel Core i5 11400H,150 W Smart AC Power Adapter,v5.2,2.46kg,Netbook,58990.0
4.05,64,2,3,178,1187,2352,1 x HDMI Port,Keyboard with touchpad with multi gesture and scrolling function,11th Gen,\u200eIntel Iris Xe Graphics,512GB,Yes,10 nm SuperFin,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",8GB DDR4,NVMe PCIe Gen3,No,Yes,2 x 3GHz (Turbo Speed upto 4.1GHz) Cores,"Dual Core, 4 Threads",6MB,Yes,Everyday Use,Windows 11 Home (64-bit),No,No,1920x1080pixels,No,Yes,45.5Wh Battery,323x221x21.6mm,Yes,Z8-415,14inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 157PPI,Two built-in speakers,HD webcam 720p Support,Wi-Fi 6(802.11ax),Intel,One 14,\u200e45.5 Watt Hours,IPS,Yes,1year Onsite Warranty,No,Yes,11th Gen Intel Core i3 1115G4,AC 45- Watt power adapter,v5,1.5kg,Ultrabook,31990.0
4.55,68,2,116,332,735,2352,1 x HDMI 2.1 Port,"Full-size, backlit, Natural Silver keyboard with numeric keypad, Yes",13th Gen,Intel Integrated Integrated,512GB,Yes,10 nm SuperFin,"1 x USB Type-C, 2 x USB 3.0",16GB DDR4,NVMe,No,Yes,4 x 1.9GHz (Turbo Speed upto 4.6GHz) Performance Cores  8 x 1.4GHz (Turbo Speed upto 3.4GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",12MB,Built-in Dual Array Digital Microphones,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"41Wh, 3 Cell Battery",360x234x17.9mm,No,15-eg3081TU,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built-in Dual Speakers,Yes,IEEE 802.11a/b/g/n/ac/ax,Intel,Core i5,41 Wh Li-ion Battery,IPS,Yes,1year Onsite Warranty,"micro-edge, Low Blue Light, Brightness: 300 nits, Color Gamut: 100% sRGB",Yes,13th Gen Intel Core i5 1340P,65 W Smart AC power adapter,v5.3,1.75kg,Ultrabook,76990.0
4.45,74,3,55,345,1459,2352,1 x HDMI 1.4 Port,Yes,11th Gen,Intel Integrated Iris Xe,512GB,Yes,10nm SuperFin,"2 x USB Type-C, 2 x USB 3.0",16GB LPDDR4X,NVMe PCIe Gen3,No,No,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Cores,"Quad Core, 8 Threads",8MB,Built In Dual Digital Array Microphone,"Everyday Use, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,50Wh Battery,323.3x211.1x14.8mm,No,1155G7,14inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 157PPI,Built In Dual Speakers,Yes,Yes,Intel,X2 Slim Series,No,IPS,Yes,1year Onsite Warranty,"Peak Brightness: 300nits, 100% sRGB, NTSC 72%",Yes,11th Gen Intel Core i5 1155G7,65W Type-C,v5.1,1.24kg,Ultrabook,38990.0
4.6,59,2,58,332,517,2352,1 x HDMI v1.4 Port,Standard Keyboard,13th Gen,Intel Iris Xe Graphics,512GB,Yes,10 nm SuperFin,"1 x USB Type-C, 2 x USB Type-A, 2 x USB 3.0",16GB LPDDR5,NVMe,No,Yes,4 x 1.9GHz (Turbo Speed upto 4.6GHz) Performance Cores  8 x 1.4GHz (Turbo Speed upto 3.4GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",12MB,Yes,"Everyday Use, Business, Performance",Windows 11 Home (64-bit),Yes,No,2560x1600pixels,4800MHz,Yes,"54Wh, 4 Cell Battery",356.78x251.7x18.2mm,No,1340P,16inches,"Laptop, Adaptor",~ 141PPI,"2.5 W x 2, Stereo speaker",HD Camera,Intel Wi-Fi 6 AX201 (2x2),Intel,Inspiron 5630,Li-ion,LED,Yes,1year Onsite Warranty,300nits WVA Display w/ ComfortView Plus Support,No,13th Gen Intel Core i5 1340P,65 Watt AC Adapter,v5.2,1.85kg,Hybrid,75763.0
4.5,109,2,15,481,497,2352,1 x HDMI 1.4 Port,"Chiclet Keyboard, 1.4mm Key-travel",5th Gen,AMD Radeon Vega 7,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",16GB DDR4,No,No,Yes,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,"Octa Core, 16 Threads",16MB,YES,"Everyday Use, Business, Performance",Windows 11 Home (64-bit),Yes,No,1920x1200pixels,3200MHz,Yes,No,358.4x247.7x19.9mm,No,M1603QA-MB711WS,16inches,"Laptop, Adaptor & Manual",~ 283PPI,YES,Yes,Wi-Fi 6(802.11ax) Dual band) 2*2,AMD,Vivobook 16X,No,LED Backlit,Yes,1year Onsite Warranty,"300nits, NTSC: 45% for non-OLED, display, Screen-to-body ratio: 86",No,5th Gen AMD Ryzen 7  5800H,No,v5.1,1.8kg,Netbook,58990.0
4.4,413,2,8,260,725,2352,1 x HDMI v2.0b Port,Backlit Chiclet Keyboard 1-Zone RGB,4th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,TSMC 7nm FinFET,"1 x USB Type-C, 3 x USB Type-A, 4 x USB 3.0",8GB DDR4,NVMe PCIe Gen3,No,Yes,6 x 3GHz (Turbo Speed upto 4GHz) Cores,"Hexa Core, 12 Threads",8MB,Built-in Array Microphone,Gaming,Windows 11 Hom (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"48Wh, 3 Cell Battery",359x256x25mm,10/100/1000 Mbps,FA506IHRZ-HN111W,15.6inches,No,~ 141PPI,2 x 2W Dual Speakers,720p HD webcam,Wi-Fi 6 (802.11ax) (Dual band) 2*2,AMD,TUF Gaming A15,48WHrs Li-Ion Polymer,LED,Multi-Touch Gestures Enabled,1year Onsite Warranty,"144Hz, IPS-level Panel with 45 Percentage NTSC and Adaptive Sync Technology Display, sRGB:62.5%, Adobe:47.1%, Contrast Ratio: 1000:1",Yes,4th Gen AMD Ryzen 5 4600H,No,v5.2,2.3kg,Ultrabook,49990.0
4,558,2,50,481,653,2352,1 x HDMI Port,"99- 100- 103-key Acer , Yes",12th Gen,NVIDIA GeForce RTX 2050,512GB,Yes,12 nm,"2 x USB Type-C, 2 x USB 3.0",16GB DDR4,No,No,Yes,4 x 1.7GHz (Turbo Speed upto 4.4GHz) Performance Cores  8 x 1.2GHz (Turbo Speed upto 3.3GHz) Efficient Cores,"12 Cores (4P + 8E), 16 Threads",12MB,Built-in Dual Microphone,Gaming,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,No,3 Cell Battery,362.9x237.8x17.9mm,Yes,A515-57G,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Two Built-in Stereo Speakers,Yes,Intel Wireless Wi-Fi 6E AX211,Intel,Aspire 5 Gaming,No,IPS,Yes,1year Warranty,No,Kensington Lock Slot,12th Gen Intel Core i5 1240P,No,v5.2,1.8kg,Netbook,58990.0
4.5,181,2,11,453,425,2352,1 x HDMI 2.1 Port,"Single (Red), Yes",5th Gen,AMD Radeon RX6500M,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",16GB DDR4,NVMe,No,Yes,8 x 3.2GHz (Turbo Speed upto 4.4GHz) Cores,"Octa Core, 16 Threads",16MB,Yes,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,"53.5Wh, 3 Cell Battery",359x259x24.95mm,Gb LAN,Bravo 15 B5ED-035IN,15.6inches,"Laptop, power adapter",~ 141PPI,Built-in Dual Stereo Speakers,Yes,AMD 6E RZ608,AMD,Bravo 15,53.5 Whr Battery,IPS-Level,Yes,1year Warranty,Full HD,No,5th Gen AMD Ryzen 7 5800H,180 W AC Adapter,v5.2,2.35kg,Netbook,62990.0
4.35,207,2,9,453,423,2352,1 x HDMI 2.1 Port,"Full-size, backlit, performance blue keyboard with numeric keypad, Yes",5th Gen,NVIDIA GeForce RTX 3050,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0",16GB DDR4,NVMe,Yes,Yes,6 x 3.3GHz (Turbo Speed upto 4.2GHz) Cores,"Hexa Core, 12 Threads",16MB,Built-in Dual Array Digital Microphones,Gaming,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,52.5Wh Battery,357.9x239.7x22.5mm,Yes,15-fb0106AX,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Build-in Dual speakers,Yes,MediaTek 6E MT7922 (2x2),AMD,Victus,52.5 Wh Li-ion Battery,"IPS,",Yes,1year Onsite Warranty,"micro-edge, 250 nits, 45% NTSC",No,5th Gen AMD Ryzen 5 5600H,No,v5.3,2.37kg,Netbook,64990.0
4.3,3,2,25,447,653,2352,1 x HDMI 2.0 Port,"White Backlit, English, Yes",11th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",8GB DDR4,No,No,Yes,4 x 2.5GHz (Turbo Speed upto 3.2GHz) Cores,"Quad Core, 8 Threads",8MB,Built-in Dual Array Microphones,Gaming,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,No,45Wh Battery,359.6x251.9x24.2mm,100/1000M,15IHU6,15.6inches,"Laptop, Battery, Adapter, Cables and User Manuals",~ 141PPI,speakers Two built-in stereo speakers,Yes,"Wi-Fi 6 11ax, 2x2",Intel,IdeaPad Gaming,No,Full HD IPS,Yes,Onsite Warranty + 1 Year Premium Care + 1 Year Accidentaly Damage Protection,"250nits , 60Hz, 45% NTSC, DC dimmer",No,11th Gen Intel Core i5 11320H,No,v5,2.25kg,Netbook,53990.0
4.5,93,2,2,260,501,2352,1 x HDMI Port,"Single (Red), No",11th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,No,"1 x USB Type-C, 3 x USB 3.0",8GB DDR4,NVMe,No,Yes,6 x 2.2GHz (Turbo Speed upto 4.5GHz) Cores,"Hexa Core, 12 Threads",12MB,Yes,Performance,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,3200MHz,Yes,3 Cell Battery,No,Yes,11SC-1299IN,15.6inches,"Laptop, battery, power adapter, user guide",~ 141PPI,Build-in Dual Speakers,Yes,Intel 6 AX201(2*2 ax),Intel,GF63 Thin,No,IPS-Level,Yes,2years Warranty,45%NTSC,No,11th Gen Intel Core i5 11400H,120W adapter,v5.2,1.86kg,Netbook,49990.0
4.2,328,2,17,481,507,2352,1 x HDMI 2.1 Port,"Full-size, Ceramic White Keyboard With Numeric Keypad",11th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,No,"1 x USB Type-C, 3 x USB 3.0",8GB DDR4,NVMe,No,Yes,6 x 2.2GHz (Turbo Speed upto 4.5GHz) Cores,"Hexa Core, 12 Threads",12MB,Dual Array Digital Microphones,Gaming,Windows 11 Home (64-bit),Yes,No,1920x1080pixels,2933MHz,Yes,"70Wh, 4 Cell Battery",370x262x23.5mm,Integrated 10/100/1000 GbE LAN,16-d0310TX,16.1inches,No,~ 137PPI,Dual speakers,Yes,Yes,Intel,Victus,\u200e70 Watt Hours,IPS,Precision Touchpad Support,1year Warranty,250nits Brightness,No,11th Gen Intel Core i5 11400H,No,Yes,2.48kg,Netbook,60500.0
4.5,5,2,149,447,1126,2352,1 x HDMI v2.0b Port,"RGB Backlit Chiclet English Keyboard, Yes",10th Gen,NVIDIA GeForce GTX 1650,512GB,Yes,No,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",8GB DDR4,No,No,Yes,4 x 2.5GHz (Turbo Speed upto 4.5GHz) Cores,"Quad Core, 8 Threads",8MB,Built-in Array Microphone,"Gaming, Performance",Windows 11 Home (64-bit),Yes,No,1920x1080pixels,No,Yes,3 Cell Battery,359x256x24.9mm,10/100/1000,FX506LHB-HN355WS,15.6inches,"Laptop, Power Adaptor, User Guide, Warranty Documents",~ 141PPI,Built in Speakers,Yes,Yes,Intel,TUF Gaming F15,No,"Full HD LED Backlit, IPS Display",Precision Touchpad with Multi-Gesture Support,1year Onsite Warranty,"250nits Brightness, 144 Hz Refresh Rate, 45% NTSC Color Gamut, 62.5% sRGB",Kensington Lock Port,10th Gen Intel Core i5 10300H,No,Yes,2.3kg,Netbook,54990.0
